Year,Age,Total Value (EOY),Diversified Portfolio,Concentrated Stock,Diversified Gains,Diversified Gain %,Concentrated Gains,Concentrated Gain %,IPO Proceeds,W2 Income,Spending,Taxes,Net Change,Required Spend
0,30,"$5,175,289","$668,820","$4,613,333","-$31,180",-0.5%,"-$786,667",-14.6%,$0,"+$250,000","-$102,600","-$64,532","-$924,711","$102,600"
1,31,"$7,267,190","$666,062","$6,646,667","+$242,928",+4.7%,"+$2,033,333",+44.1%,$0,"+$250,000","-$431,153","-$54,955","+$2,091,901","$418,595"
2,32,"$6,758,224","$1,020,131","$5,646,000","+$354,069",+4.9%,"-$336,000",-5.1%,"+$664,667","+$250,000","-$236,252","-$263,636","-$508,966","$222,691"
3,33,"$8,815,283","$1,967,198","$7,093,333","+$947,067",+14.0%,"+$2,074,667",+36.7%,"+$627,333","+$250,000","-$253,795","-$251,839","+$2,057,060","$232,259"
4,34,"$11,366,162","$3,260,945","$8,059,333","+$1,293,747",+14.7%,"+$1,852,667",+26.1%,"+$886,667","+$250,000","-$258,752","-$333,788","+$2,550,879","$229,898"
5,35,"$6,858,597","$2,384,283","$4,224,000","-$876,662",-7.7%,"-$2,684,000",-33.3%,"+$1,151,333","+$250,000","-$333,414","-$429,568","-$4,507,566","$287,606"
6,36,"$7,156,220","$3,184,983","$4,380,000","+$800,700",+11.7%,"+$860,000",+20.4%,"+$704,000",$0,"-$348,640","-$180,023","+$297,624","$291,980"
7,37,"$6,544,252","$3,290,584","$3,322,667","+$105,601",+1.5%,"-$181,333",-4.1%,"+$876,000",$0,"-$356,442","-$234,375","-$611,968","$289,820"
8,38,"$5,107,162","$2,993,162","$2,114,000","-$297,422",-4.5%,"-$378,000",-11.4%,"+$830,667",$0,"-$372,838","-$220,049","-$1,437,090","$294,322"
9,39,"$3,920,648","$2,591,954","$1,165,333","-$401,208",-7.9%,"-$244,000",-11.5%,"+$704,667",$0,"-$382,932","-$180,233","-$1,186,514","$293,485"
10,40,"$3,445,160","$2,949,415","$650,667","+$357,461",+9.1%,"+$68,000",+5.8%,"+$582,667",$0,"-$391,763","-$141,681","-$475,488","$291,508"
11,41,"$3,416,801","$3,634,432",$0,"+$685,017",+19.9%,$0,0%,"+$650,667",$0,"-$402,519","-$163,169","-$28,359","$290,789"
12,42,"$3,594,268","$3,678,476",$0,"+$462,826",+13.5%,$0,0%,$0,$0,"-$418,781",$0,"+$177,466","$293,725"
13,43,"$4,258,565","$4,292,178",$0,"+$1,043,485",+29.0%,$0,0%,$0,$0,"-$428,687","-$1,096","+$664,298","$291,915"
14,44,"$3,285,031","$3,355,474",$0,"-$481,412",-11.3%,$0,0%,$0,$0,"-$446,151","-$9,142","-$973,534","$294,959"
15,45,"$2,892,213","$2,899,225",$0,"+$8,213",+0.3%,$0,0%,$0,$0,"-$460,618","-$3,845","-$392,818","$295,653"
16,46,"$2,402,284","$2,440,907",$0,"+$17,498",+0.6%,$0,0%,$0,$0,"-$471,779","-$4,037","-$489,929","$293,997"
17,47,"$2,078,227","$2,135,187",$0,"+$185,818",+7.7%,$0,0%,$0,$0,"-$487,242","-$4,296","-$324,057","$294,789"
18,48,"$1,962,193","$2,025,106",$0,"+$395,824",+19.0%,$0,0%,$0,$0,"-$495,116","-$10,789","-$116,034","$290,829"
19,49,"$1,764,643","$1,799,648",$0,"+$284,321",+14.5%,$0,0%,$0,$0,"-$479,958","-$29,822","-$197,550","$273,713"
20,50,"$1,432,568","$1,438,507",$0,"+$171,336",+9.7%,$0,0%,$0,$0,"-$487,364","-$45,112","-$332,076","$269,842"
21,51,"$821,552","$777,685",$0,"-$96,724",-6.8%,$0,0%,$0,$0,"-$470,308","-$93,791","-$611,015","$252,813"
22,52,"$204,859","$143,648",$0,"+$158,370",+19.3%,$0,0%,$0,$0,"-$451,868","-$340,539","-$616,694","$235,827"
23,53,$0,$0,$0,"+$365,602",+178.5%,$0,0%,$0,$0,"-$462,767","-$46,482","-$204,859","$234,480"
24,54,$0,$0,$0,"+$442,282",0%,$0,0%,$0,$0,"-$442,281",$0,$0,"$217,573"
25,55,$0,$0,$0,"+$452,893",0%,$0,0%,$0,$0,"-$452,892",$0,$0,"$216,304"
26,56,$0,$0,$0,"+$463,823",0%,$0,0%,$0,$0,"-$463,822",$0,$0,"$215,072"
27,57,$0,$0,$0,"+$475,080",0%,$0,0%,$0,$0,"-$475,079",$0,$0,"$213,876"
28,58,$0,$0,$0,"+$486,675",0%,$0,0%,$0,$0,"-$486,674",$0,$0,"$212,714"
29,59,$0,$0,$0,"+$498,618",0%,$0,0%,$0,$0,"-$498,617",$0,$0,"$211,587"
30,60,$0,$0,$0,"+$510,920",0%,$0,0%,$0,$0,"-$510,919",$0,$0,"$210,492"
31,61,$0,$0,$0,"+$435,015",0%,$0,0%,$0,$0,"-$435,014",$0,$0,"$174,000"
32,62,$0,$0,$0,"+$448,065",0%,$0,0%,$0,$0,"-$448,064",$0,$0,"$174,000"
33,63,$0,$0,$0,"+$461,507",0%,$0,0%,$0,$0,"-$461,506",$0,$0,"$174,000"
34,64,$0,$0,$0,"+$475,352",0%,$0,0%,$0,$0,"-$475,352",$0,$0,"$174,000"
35,65,$0,$0,$0,"+$489,613",0%,$0,0%,$0,$0,"-$489,612",$0,$0,"$174,000"
36,66,$0,$0,$0,"+$504,301",0%,$0,0%,$0,$0,"-$504,300",$0,$0,"$174,000"
37,67,$0,$0,$0,"+$519,430",0%,$0,0%,$0,$0,"-$519,429",$0,$0,"$174,000"
38,68,$0,$0,$0,"+$535,013",0%,$0,0%,$0,$0,"-$535,012",$0,$0,"$174,000"
39,69,$0,$0,$0,"+$551,063",0%,$0,0%,$0,$0,"-$551,063",$0,$0,"$174,000"
40,70,$0,$0,$0,"+$567,595",0%,$0,0%,$0,$0,"-$567,595",$0,$0,"$174,000"
41,71,$0,$0,$0,"+$584,623",0%,$0,0%,$0,$0,"-$584,622",$0,$0,"$174,000"
42,72,$0,$0,$0,"+$602,162",0%,$0,0%,$0,$0,"-$602,161",$0,$0,"$174,000"
43,73,$0,$0,$0,"+$620,227",0%,$0,0%,$0,$0,"-$620,226",$0,$0,"$174,000"
44,74,$0,$0,$0,"+$638,833",0%,$0,0%,$0,$0,"-$638,833",$0,$0,"$174,000"
45,75,$0,$0,$0,"+$657,998",0%,$0,0%,$0,$0,"-$657,998",$0,$0,"$174,000"
46,76,$0,$0,$0,"+$677,738",0%,$0,0%,$0,$0,"-$677,738",$0,$0,"$174,000"
47,77,$0,$0,$0,"+$698,070",0%,$0,0%,$0,$0,"-$698,070",$0,$0,"$174,000"
48,78,$0,$0,$0,"+$719,013",0%,$0,0%,$0,$0,"-$719,012",$0,$0,"$174,000"
49,79,$0,$0,$0,"+$740,583",0%,$0,0%,$0,$0,"-$740,582",$0,$0,"$174,000"
50,80,$0,$0,$0,"+$762,800",0%,$0,0%,$0,$0,"-$762,800",$0,$0,"$174,000"
51,81,$0,$0,$0,"+$785,684",0%,$0,0%,$0,$0,"-$785,684",$0,$0,"$174,000"
52,82,$0,$0,$0,"+$809,255",0%,$0,0%,$0,$0,"-$809,254",$0,$0,"$174,000"
53,83,$0,$0,$0,"+$833,533",0%,$0,0%,$0,$0,"-$833,532",$0,$0,"$174,000"
54,84,$0,$0,$0,"+$858,539",0%,$0,0%,$0,$0,"-$858,538",$0,$0,"$174,000"
55,85,$0,$0,$0,"+$884,295",0%,$0,0%,$0,$0,"-$884,294",$0,$0,"$174,000"
56,86,$0,$0,$0,"+$910,824",0%,$0,0%,$0,$0,"-$910,823",$0,$0,"$174,000"
57,87,$0,$0,$0,"+$938,148",0%,$0,0%,$0,$0,"-$938,147",$0,$0,"$174,000"
58,88,$0,$0,$0,"+$966,293",0%,$0,0%,$0,$0,"-$966,292",$0,$0,"$174,000"
59,89,$0,$0,$0,"+$995,281",0%,$0,0%,$0,$0,"-$995,281",$0,$0,"$174,000"
60,90,$0,$0,$0,"+$1,025,140",0%,$0,0%,$0,$0,"-$1,025,139",$0,$0,"$174,000"
61,91,$0,$0,$0,"+$1,055,894",0%,$0,0%,$0,$0,"-$1,055,893",$0,$0,"$174,000"
62,92,$0,$0,$0,"+$1,087,570",0%,$0,0%,$0,$0,"-$1,087,570",$0,$0,"$174,000"
63,93,$0,$0,$0,"+$1,120,198",0%,$0,0%,$0,$0,"-$1,120,197",$0,$0,"$174,000"
64,94,$0,$0,$0,"+$1,153,803",0%,$0,0%,$0,$0,"-$1,153,803",$0,$0,"$174,000"
65,95,$0,$0,$0,"+$1,188,418",0%,$0,0%,$0,$0,"-$1,188,417",$0,$0,"$174,000"
66,96,$0,$0,$0,"+$1,224,070",0%,$0,0%,$0,$0,"-$1,224,070",$0,$0,"$174,000"
67,97,$0,$0,$0,"+$1,260,792",0%,$0,0%,$0,$0,"-$1,260,792",$0,$0,"$174,000"
68,98,$0,$0,$0,"+$1,298,616",0%,$0,0%,$0,$0,"-$1,298,615",$0,$0,"$174,000"
69,99,$0,$0,$0,"+$1,337,574",0%,$0,0%,$0,$0,"-$1,337,574",$0,$0,"$174,000"
